sampleid	population	sex	timepoint	bird	flock
#q2:types	categorical	categorical	categorical	categorical	categorical
35_S42_L001	resident	male	A	BIRD19	residentmale
54_S90_L001	migratory	female	A	BIRD04	migratoryfemale
66_S51_L001	migratory	male	A	BIRD08	migratorymale
70_S74_L001	migratory	female	A	BIRD02	migratoryfemale
77_S44_L001	resident	female	A	BIRD23	residentfemale
88_S28_L001	migratory	male	A	BIRD13	migratorymale
95_S65_L001	resident	male	A	BIRD18	residentmale
97_S67_L001	migratory	male	A	BIRD11	migratorymale
120_S5_L001	resident	male	A	BIRD16	residentmale
152_S68_L001	resident	female	A	BIRD24	residentfemale
156_S21_L001	resident	female	A	BIRD26	residentfemale
169_S20_L001	migratory	male	A	BIRD12	migratorymale
203_S6_L001	resident	female	A	BIRD21	residentfemale
216_S38_L001	migratory	female	A	BIRD01	migratoryfemale
238_S91_L001	migratory	female	A	BIRD06	migratoryfemale
268_S19_L001	migratory	female	A	BIRD05	migratoryfemale
284_S15_L001	migratory	female	A	BIRD03	migratoryfemale
327_S64_L001	resident	male	A	BIRD15	residentmale
346_S87_L001	migratory	male	A	BIRD09	migratorymale
350_S41_L001	resident	male	A	BIRD17	residentmale
352_S89_L001	resident	male	A	BIRD20	residentmale
363_S43_L001	migratory	male	A	BIRD10	migratorymale
371_S66_L001	resident	female	A	BIRD22	residentfemale
373_S92_L001	resident	female	A	BIRD25	residentfemale
