sampleid	population	sex	timepoint	bird	flock
#q2:types	categorical	categorical	categorical	categorical	categorical
35S42L001	resident	male	A	BIRD19	residentmale
54S90L001	migratory	female	A	BIRD04	migratoryfemale
66S51L001	migratory	male	A	BIRD08	migratorymale
70S74L001	migratory	female	A	BIRD02	migratoryfemale
77S44L001	resident	female	A	BIRD23	residentfemale
88S28L001	migratory	male	A	BIRD13	migratorymale
95S65L001	resident	male	A	BIRD18	residentmale
97S67L001	migratory	male	A	BIRD11	migratorymale
120S5L001	resident	male	A	BIRD16	residentmale
152S68L001	resident	female	A	BIRD24	residentfemale
156S21L001	resident	female	A	BIRD26	residentfemale
169S20L001	migratory	male	A	BIRD12	migratorymale
203S6L001	resident	female	A	BIRD21	residentfemale
216S38L001	migratory	female	A	BIRD01	migratoryfemale
238S91L001	migratory	female	A	BIRD06	migratoryfemale
268S19L001	migratory	female	A	BIRD05	migratoryfemale
284S15L001	migratory	female	A	BIRD03	migratoryfemale
327S64L001	resident	male	A	BIRD15	residentmale
346S87L001	migratory	male	A	BIRD09	migratorymale
350S41L001	resident	male	A	BIRD17	residentmale
352S89L001	resident	male	A	BIRD20	residentmale
363S43L001	migratory	male	A	BIRD10	migratorymale
371S66L001	resident	female	A	BIRD22	residentfemale
373S92L001	resident	female	A	BIRD25	residentfemale
