geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA3278	3357	38062708473.0734	0.000968444302114291	0.935824403942277
.	MSTRG.2869.5	3523	25.1655703330114	0.000996393728007083	0.935824403942277
.	gene-PA4185	4285	4.58326472748548	0.00106140559027956	0.935824403942277
.	gene-PA5474	5643	1017789.26114548	0.00154495591470138	0.935824403942277
.	gene-PA2878	2943	0.000478149852116427	0.00162810788964896	0.935824403942277
.	gene-PA2705	2760	0.0313685770200946	0.00208430121833758	0.935824403942277
.	gene-PA0121	125	0.000104451218755093	0.00270730288980503	0.935824403942277
phrS	rna-PA3305.1	3387	23121080.0891364	0.00379052112938671	0.935824403942277
chpD	gene-PA0416	421	0.0573209454697985	0.00405274558923496	0.935824403942277
.	gene-PA4476	4597	0.0790683236938701	0.00416050876673268	0.935824403942277
oprG	gene-PA4067	4165	71133066294.6364	0.00456043522014926	0.935824403942277
.	gene-PA2986	3054	254.624042195514	0.00457335509313928	0.935824403942277
.	gene-PA2260	2307	8.91545945801544e-20	0.00497210718769325	0.935824403942277
pgi	gene-PA4732	4882	15.5149011595695	0.00543778531589534	0.935824403942277
.	gene-PA1050	1075	382985.776375254	0.00555759081103735	0.935824403942277
.	gene-PA3913	4011	4538412368.49434	0.00594654606070877	0.935824403942277
.	gene-PA0478	484	634.67947976434	0.00602644945168107	0.935824403942277
.	rna-PA4280.2	4389	7.82278037343911e-05	0.00667529686141899	0.935824403942277
ftsL	gene-PA4419	4538	2.18063974871249	0.00670057831896831	0.935824403942277
.	gene-PA3290	3369	0.0160123814238522	0.00682639871460122	0.935824403942277
.	gene-PA3631	3726	1098.30877669566	0.00703095344529614	0.935824403942277
pqqC	gene-PA1987	2032	5.49154543010982e-05	0.00707500708409969	0.935824403942277
pgl	gene-PA3182	3260	8.19079362559873e-05	0.00738543535098835	0.935824403942277
.	gene-PA1414	1444	1259150.39983806	0.00766609574037591	0.935824403942277
.	gene-PA4677	4813	0.0345871738718395	0.00828369228271009	0.935824403942277
cobU	gene-PA1279	1308	203.39943012419	0.00854134907291226	0.935824403942277
.	gene-PA5021	5178	115.891680471221	0.008710665409007	0.935824403942277
.	gene-PA1297	1326	240.339955141499	0.00933131509253826	0.935824403942277
pscK	gene-PA1724	1761	664181.237149773	0.00947199140320465	0.935824403942277
fur	gene-PA4764	4917	40.4633940037397	0.00973056038595943	0.935824403942277
.	gene-PA2267	2314	590.368494223578	0.00980564458964017	0.935824403942277
.	gene-PA1645	1682	1.52649975178558	0.00983774063167453	0.935824403942277
.	gene-PA3884	3981	0.000135895466795998	0.00987581603446475	0.935824403942277
serA	gene-PA0316	321	7.41122339119444	0.0113351951490483	0.935824403942277
.	gene-PA5246	5407	163.948557697167	0.0126183531336284	0.935824403942277
hcnA	gene-PA2193	2239	158541692.983483	0.0127713508445044	0.935824403942277
.	gene-PA4659	4793	0.00463044969716233	0.0133427608966332	0.935824403942277
.	gene-PA1542	1575	0.00156939537922471	0.01343426137785	0.935824403942277
.	gene-PA0709	722	18.1374803199582	0.0134368308486661	0.935824403942277
.	gene-PA0809	824	6625.22326263964	0.013881107690295	0.935824403942277
.	gene-PA2097	2142	0.000113801296115035	0.0139820732771168	0.935824403942277
.	gene-PA3338	3420	1388.40269620261	0.0144591985126101	0.935824403942277
.	gene-PA5083	5240	0.00221693450848847	0.0146591309043264	0.935824403942277
.	gene-PA3089a	3161	100780.499922515	0.0148656381794663	0.935824403942277
.	gene-PA1991	2036	0.000164220403477685	0.0151848956726335	0.935824403942277
.	gene-PA0976	1000	0.00322834448954754	0.0155337613892792	0.935824403942277
oxyR	gene-PA5344	5507	9.31821138055867	0.0156453177693947	0.935824403942277
rcpA	gene-PA4304	4417	23.5271574855217	0.0164270705965173	0.935824403942277
.	gene-PA2523	2574	169.388105909102	0.0165625046399465	0.935824403942277
.	gene-PA4791	4944	479.565968733005	0.0170844989706862	0.935824403942277
.	gene-PA2284	2331	5261.98596158667	0.0174175105474488	0.935824403942277
.	gene-PA0543	550	0.0160237253561638	0.0176984553913052	0.935824403942277
.	gene-PA2223	2271	0.000313866847172286	0.0177019606908124	0.935824403942277
.	gene-PA2690	2745	0.0708415818374332	0.0181853305249036	0.935824403942277
corA	gene-PA5268	5430	234.797396827507	0.0182895761370968	0.935824403942277
.	gene-PA2225	2273	0.00397114899272752	0.0186250874355105	0.935824403942277
.	gene-PA4838	4992	8815.49412078018	0.0188636671361004	0.935824403942277
.	gene-PA2662	2718	1999281.96367209	0.0193314408752885	0.935824403942277
.	gene-PA0365	370	1.27613914940454e-06	0.0196477847814607	0.935824403942277
