locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNJIGEIF_00001	CDS	507				hypothetical protein
HNJIGEIF_00002	CDS	540				hypothetical protein
HNJIGEIF_00003	CDS	1479				hypothetical protein
HNJIGEIF_00004	CDS	3066				TonB-dependent receptor P3
HNJIGEIF_00005	CDS	759				hypothetical protein
HNJIGEIF_00006	CDS	126				hypothetical protein
HNJIGEIF_00007	CDS	675				hypothetical protein
HNJIGEIF_00008	CDS	1509				hypothetical protein
HNJIGEIF_00009	CDS	135				hypothetical protein
HNJIGEIF_00010	CDS	147				hypothetical protein
HNJIGEIF_00011	CDS	123				hypothetical protein
HNJIGEIF_00012	CDS	147				hypothetical protein
HNJIGEIF_00013	CDS	867	bdlA		COG0840	Biofilm dispersion protein BdlA
HNJIGEIF_00014	CDS	1263	fliC_1			A-type flagellin
HNJIGEIF_00015	CDS	1254				hypothetical protein
HNJIGEIF_00016	CDS	468				hypothetical protein
HNJIGEIF_00017	CDS	561				hypothetical protein
HNJIGEIF_00018	CDS	1296	umuC_1		COG0389	Protein UmuC
HNJIGEIF_00019	CDS	1170	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
HNJIGEIF_00020	CDS	165				hypothetical protein
HNJIGEIF_00021	CDS	693				hypothetical protein
HNJIGEIF_00022	CDS	525				hypothetical protein
HNJIGEIF_00023	CDS	1125				hypothetical protein
HNJIGEIF_00024	CDS	567				hypothetical protein
HNJIGEIF_00025	CDS	1386	czcC_1			Cobalt-zinc-cadmium resistance protein CzcC
HNJIGEIF_00026	CDS	1284	czcB			Cobalt-zinc-cadmium resistance protein CzcB
HNJIGEIF_00027	CDS	3123	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
HNJIGEIF_00028	CDS	234				hypothetical protein
HNJIGEIF_00029	CDS	981				IS110 family transposase ISOt5
HNJIGEIF_00030	CDS	675				hypothetical protein
HNJIGEIF_00031	CDS	195				hypothetical protein
HNJIGEIF_00032	CDS	129				hypothetical protein
HNJIGEIF_00033	CDS	1827	copA_1			Copper resistance protein A
HNJIGEIF_00034	CDS	732	copB_1			Copper resistance protein B
HNJIGEIF_00035	CDS	864	petE			Plastocyanin
HNJIGEIF_00036	CDS	2007	copB_2	7.2.2.8		Copper-exporting P-type ATPase B
HNJIGEIF_00037	CDS	240	mdtB_1			Multidrug resistance protein MdtB
HNJIGEIF_00038	CDS	276				hypothetical protein
HNJIGEIF_00039	CDS	417				hypothetical protein
HNJIGEIF_00040	CDS	171				hypothetical protein
HNJIGEIF_00041	CDS	150				hypothetical protein
HNJIGEIF_00042	CDS	1302				hypothetical protein
HNJIGEIF_00043	CDS	939				hypothetical protein
HNJIGEIF_00044	CDS	648				hypothetical protein
HNJIGEIF_00045	CDS	408				hypothetical protein
HNJIGEIF_00046	CDS	426				hypothetical protein
HNJIGEIF_00047	CDS	1020				IS630 family transposase ISAcma28
HNJIGEIF_00048	CDS	375	insK		COG2801	Putative transposase InsK for insertion sequence element IS150
HNJIGEIF_00049	CDS	2082	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
HNJIGEIF_00050	CDS	2745	ctpF	3.6.3.-	COG0474	putative cation-transporting ATPase F
HNJIGEIF_00051	CDS	1074				hypothetical protein
HNJIGEIF_00052	CDS	264				hypothetical protein
HNJIGEIF_00053	CDS	1254				hypothetical protein
HNJIGEIF_00054	CDS	387				hypothetical protein
HNJIGEIF_00055	CDS	303				hypothetical protein
HNJIGEIF_00056	CDS	591				hypothetical protein
HNJIGEIF_00057	CDS	2274				hypothetical protein
HNJIGEIF_00058	CDS	942				hypothetical protein
HNJIGEIF_00059	CDS	621				hypothetical protein
HNJIGEIF_00060	CDS	957				hypothetical protein
HNJIGEIF_00061	CDS	165				hypothetical protein
HNJIGEIF_00062	CDS	972				hypothetical protein
HNJIGEIF_00063	CDS	135				hypothetical protein
HNJIGEIF_00064	CDS	888	parA			Chromosome partitioning protein ParA
HNJIGEIF_00065	CDS	420				hypothetical protein
HNJIGEIF_00066	CDS	336				hypothetical protein
HNJIGEIF_00067	CDS	129				hypothetical protein
HNJIGEIF_00068	CDS	684				hypothetical protein
HNJIGEIF_00069	CDS	288				hypothetical protein
HNJIGEIF_00070	CDS	1830				hypothetical protein
HNJIGEIF_00071	CDS	2385	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
HNJIGEIF_00072	CDS	222				hypothetical protein
HNJIGEIF_00073	CDS	1254				hypothetical protein
HNJIGEIF_00074	CDS	474				hypothetical protein
HNJIGEIF_00075	CDS	1068	adh_1	1.1.1.1		Alcohol dehydrogenase
HNJIGEIF_00076	CDS	1041		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
HNJIGEIF_00077	CDS	249				hypothetical protein
HNJIGEIF_00078	CDS	384				hypothetical protein
HNJIGEIF_00079	CDS	393				hypothetical protein
HNJIGEIF_00080	CDS	789				hypothetical protein
HNJIGEIF_00081	CDS	402				hypothetical protein
